src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.56.2,192.168.56.1,41990,80,6,2025-08-12 05:52:46,127.455277,5.22536230492834,0.07061300412065324,0.07061300412065324,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.931909625,120.313039,0.0,39.455587097216714,127.45527700000001,120.313039,0.0,15.931909625,39.455587097216714,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42006,80,6,2025-08-12 05:52:46,127.447886,5.225665335869126,0.07061709913336656,0.07061709913336656,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.930985750000001,120.318802,0.0,39.458114893837184,127.44788600000001,120.318802,0.0,15.930985750000001,39.458114893837184,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42088,80,6,2025-08-12 05:52:46,127.4392,5.226021506726345,0.07062191225305871,0.07062191225305871,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.929899999999998,120.316397,0.0,39.457606115100695,127.4392,120.316397,0.0,15.929899999999998,39.457606115100695,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42130,80,6,2025-08-12 05:52:46,127.432862,5.2262814280981935,0.07062542470402965,0.07062542470402965,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.929107750000002,120.311738,0.0,39.45612982392137,127.432862,120.311738,0.0,15.929107750000002,39.45612982392137,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42172,80,6,2025-08-12 05:52:46,127.447934,5.225663367756122,0.07061707253724489,0.07061707253724489,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.93099175,120.312295,0.0,39.45564442436877,127.447934,120.312295,0.0,15.93099175,39.45564442436877,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42178,80,6,2025-08-12 05:52:46,127.44777,5.225670092148336,0.07061716340740995,0.07061716340740995,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.930971249999999,120.318714,0.0,39.45807825052815,127.44777,120.318714,0.0,15.930971249999999,39.45807825052815,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42190,80,6,2025-08-12 05:52:46,127.454236,5.225404983793556,0.07061358086207507,0.07061358086207507,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.931779500000001,120.331658,0.0,39.46266496552609,127.45423600000001,120.331658,0.0,15.931779500000001,39.46266496552609,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42216,80,6,2025-08-12 05:52:46,127.455022,5.225372759340939,0.07061314539649917,0.07061314539649917,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.93187775,120.316126,0.0,39.45675405979948,127.455022,120.316126,0.0,15.93187775,39.45675405979948,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42232,80,6,2025-08-12 05:52:46,127.461332,5.225114076165468,0.07060964967791172,0.07060964967791172,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.932666500000002,120.329047,0.0,39.46133933105606,127.461332,120.329047,0.0,15.932666500000002,39.46133933105606,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42306,80,6,2025-08-12 05:52:46,127.455773,5.225341970190711,0.0706127293269015,0.0706127293269015,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.931971625000001,120.345527,0.0,39.467830722867305,127.45577300000001,120.345527,0.0,15.931971625000001,39.467830722867305,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42406,80,6,2025-08-12 05:52:46,127.445149,5.225777561765023,0.07061861569952733,0.07061861569952733,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.930643625,120.332536,0.0,39.46342457150891,127.445149,120.332536,0.0,15.930643625,39.46342457150891,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
192.168.56.2,192.168.56.1,42446,80,6,2025-08-12 05:52:46,127.442816,5.225873226153446,0.07061990846153306,0.07061990846153306,0.0,9,0,666,0,74,74,74.0,0.0,0,0,0,0.0,74,74,74.0,0.0,0.0,180,0,20,0,15.930352000000001,120.3278,0.0,39.46174570987031,127.442816,120.3278,0.0,15.930352000000001,39.46174570987031,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.0,74.0,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,9,0,666,0
